year,month,day,day_pillar,month_pillar,year_pillar,lunar_year,lunar_month,lunar_day,is_leap_month,solar_term_hanja,solar_term_korean,term_time,term_time_seoul_lmt,term_time_utc
1900,1,1,甲戌,,己亥,1899,12,1,,,,,,
1900,1,2,乙亥,,己亥,1899,12,2,,,,,,
1900,1,3,丙子,,己亥,1899,12,3,,,,,,
1900,1,4,丁丑,,己亥,1899,12,4,,,,,,
1900,1,5,戊寅,,己亥,1899,12,5,,,,,,
1900,1,6,己卯,丁丑,己亥,1899,12,6,,小寒,소한,190001060303,190001060231,190001051803
1900,1,7,庚辰,丁丑,己亥,1899,12,7,,,,,,
1900,1,8,辛巳,丁丑,己亥,1899,12,8,,,,,,
1900,1,9,壬午,丁丑,己亥,1899,12,9,,,,,,
1900,1,10,癸未,丁丑,己亥,1899,12,10,,,,,,
1900,1,11,甲申,丁丑,己亥,1899,12,11,,,,,,
1900,1,12,乙酉,丁丑,己亥,1899,12,12,,,,,,
1900,1,13,丙戌,丁丑,己亥,1899,12,13,,,,,,
1900,1,14,丁亥,丁丑,己亥,1899,12,14,,,,,,
1900,1,15,戊子,丁丑,己亥,1899,12,15,,,,,,
1900,1,16,己丑,丁丑,己亥,1899,12,16,,,,,,
1900,1,17,庚寅,丁丑,己亥,1899,12,17,,,,,,
1900,1,18,辛卯,丁丑,己亥,1899,12,18,,,,,,
1900,1,19,壬辰,丁丑,己亥,1899,12,19,,,,,,
1900,1,20,癸巳,丁丑,己亥,1899,12,20,,大寒,대한,190001202031,190001201959,190001201131
1900,1,21,甲午,丁丑,己亥,1899,12,21,,,,,,
1900,1,22,乙未,丁丑,己亥,1899,12,22,,,,,,
1900,1,23,丙申,丁丑,己亥,1899,12,23,,,,,,
1900,1,24,丁酉,丁丑,己亥,1899,12,24,,,,,,
1900,1,25,戊戌,丁丑,己亥,1899,12,25,,,,,,
1900,1,26,己亥,丁丑,己亥,1899,12,26,,,,,,
1900,1,27,庚子,丁丑,己亥,1899,12,27,,,,,,
1900,1,28,辛丑,丁丑,己亥,1899,12,28,,,,,,
1900,1,29,壬寅,丁丑,己亥,1899,12,29,,,,,,
1900,1,30,癸卯,丁丑,己亥,1899,12,30,,,,,,
1900,1,31,甲辰,丁丑,己亥,1900,1,1,,,,,,
1900,2,1,乙巳,丁丑,己亥,1900,1,2,,,,,,
1900,2,2,丙午,丁丑,己亥,1900,1,3,,,,,,
1900,2,3,丁未,丁丑,己亥,1900,1,4,,,,,,
1900,2,4,戊申,戊寅,庚子,1900,1,5,,立春,입춘,190002041450,190002041418,190002040550
1900,2,5,己酉,戊寅,庚子,1900,1,6,,,,,,
1900,2,6,庚戌,戊寅,庚子,1900,1,7,,,,,,
1900,2,7,辛亥,戊寅,庚子,1900,1,8,,,,,,
1900,2,8,壬子,戊寅,庚子,1900,1,9,,,,,,
1900,2,9,癸丑,戊寅,庚子,1900,1,10,,,,,,
1900,2,10,甲寅,戊寅,庚子,1900,1,11,,,,,,
